DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2023/12/01 16:17:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,RIACHO DE SANTANA,Caatinga,3.0,0.0,1.0,-6.33311,-38.35571,72.8
2023/12/01 16:17:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,JOÃO DIAS,Caatinga,3.0,0.0,1.0,-6.26277,-37.81059,108.3
2023/12/01 16:17:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,JOÃO DIAS,Caatinga,3.0,0.0,1.0,-6.25682,-37.81685,57.7
2023/12/01 16:17:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,ANTÔNIO MARTINS,Caatinga,3.0,0.0,1.0,-6.2551,-37.80468,45.4
2023/12/01 16:17:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,SERRINHA,Caatinga,3.0,0.0,0.31,-6.22018,-35.56586,7.8
2023/12/01 16:17:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,FRUTUOSO GOMES,Caatinga,3.0,0.0,1.0,-6.15168,-37.87669,27.1
2023/12/01 16:20:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,DOUTOR SEVERIANO,Caatinga,20.0,0.0,1.0,-6.0791,-38.4035,25.1
2023/12/01 16:20:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,DOUTOR SEVERIANO,Caatinga,19.0,0.0,1.0,-6.0758,-38.41071,29.7
2023/12/01 16:20:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,UPANEMA,Caatinga,3.0,0.0,0.82,-5.55432,-37.40754,40.4
2023/12/01 16:20:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,GOVERNADOR DIX-SEPT ROSADO,Caatinga,3.0,0.0,0.77,-5.54596,-37.4203,27.6
2023/12/01 16:20:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,SÃO MIGUEL DO GOSTOSO,Caatinga,3.0,0.0,0.35,-5.16181,-35.69981,31.0
2023/12/01 16:20:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,MOSSORÓ,Caatinga,-999.0,0.0,1.0,-4.91663,-37.44831,16.4
2023/12/01 16:20:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,MOSSORÓ,Caatinga,-999.0,0.0,1.0,-4.91503,-37.43719,29.4
2023/12/03 16:02:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,AÇU,Caatinga,5.0,0.0,1.0,-5.6069,-37.00277,67.5
2023/12/03 16:02:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,CARNAUBAIS,Caatinga,4.0,2.68,0.72,-5.27712,-36.88184,21.0
2023/12/05 15:48:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,PUREZA,Caatinga,-999.0,0.0,1.0,-5.41214,-35.52481,31.6
2023/12/06 16:28:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,SÃO MIGUEL,Caatinga,18.0,0.0,1.0,-6.2861,-38.51395,28.3
2023/12/06 16:28:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,SÃO MIGUEL,Caatinga,17.0,0.0,1.0,-6.28472,-38.50436,14.1
2023/12/06 16:28:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,ÁGUA NOVA,Caatinga,7.0,0.0,1.0,-6.18165,-38.30622,23.7
2023/12/06 16:28:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,DOUTOR SEVERIANO,Caatinga,26.0,0.0,1.0,-6.08545,-38.39919,12.4
2023/12/06 16:28:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,SANTANA DO MATOS,Caatinga,8.0,0.0,0.91,-6.05823,-36.7392,50.0
2023/12/06 16:28:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,SANTANA DO MATOS,Caatinga,8.0,0.0,0.98,-6.05694,-36.73032,24.9
2023/12/06 16:28:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,TABOLEIRO GRANDE,Caatinga,8.0,0.0,1.0,-5.90964,-38.01323,10.3
2023/12/06 16:28:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,GOVERNADOR DIX-SEPT ROSADO,Caatinga,8.0,0.0,1.0,-5.45628,-37.61293,10.8
2023/12/06 16:28:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,TOUROS,Caatinga,4.0,0.0,0.65,-5.431,-35.79103,26.3
2023/12/06 16:28:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,TOUROS,Caatinga,3.0,0.0,1.0,-5.28548,-35.67599,17.6
2023/12/06 16:28:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,TOUROS,Caatinga,3.0,0.0,0.98,-5.28411,-35.66665,37.1
2023/12/06 16:28:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,TOUROS,Caatinga,3.0,0.0,0.83,-5.25677,-35.67066,24.9
2023/12/06 16:28:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,PORTO DO MANGUE,Caatinga,8.0,0.0,1.0,-5.11495,-36.84504,14.8
2023/12/08 16:13:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,TOUROS,Caatinga,5.0,0.2,0.97,-5.27078,-35.69227,14.4
2023/12/10 15:58:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,DOUTOR SEVERIANO,Caatinga,30.0,0.36,1.0,-6.11173,-38.41031,66.9
2023/12/11 16:39:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,UMARIZAL,Caatinga,6.0,0.0,1.0,-6.00255,-37.79163,66.4
2023/12/11 16:39:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,SÃO FRANCISCO DO OESTE,Caatinga,19.0,0.0,1.0,-5.96386,-38.15403,16.0
2023/12/13 16:24:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,TENENTE ANANIAS,Caatinga,3.0,0.0,0.47,-6.49421,-38.11871,17.4
2023/12/13 16:24:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,MARTINS,Caatinga,7.0,0.0,1.0,-6.10917,-37.93304,12.4
2023/12/13 16:24:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,PORTALEGRE,Caatinga,6.0,0.0,1.0,-6.0231,-38.04642,28.5
2023/12/13 16:24:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,PORTALEGRE,Caatinga,7.0,0.0,1.0,-6.02163,-38.03617,41.2
2023/12/13 16:24:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,RIACHO DA CRUZ,Caatinga,13.0,0.0,1.0,-5.97634,-37.99059,13.0
2023/12/13 16:24:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,IELMO MARINHO,Caatinga,9.0,0.0,1.0,-5.72761,-35.6034,12.1
2023/12/13 16:24:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,POÇO BRANCO,Caatinga,9.0,0.0,1.0,-5.58839,-35.72688,7.5
2023/12/13 16:24:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,APODI,Caatinga,15.0,0.0,1.0,-5.53268,-37.89925,28.4
2023/12/13 16:24:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,APODI,Caatinga,15.0,0.0,1.0,-5.53125,-37.88926,95.9
2023/12/13 16:24:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,BARAÚNA,Caatinga,14.0,0.0,1.0,-5.15142,-37.67686,11.2
2023/12/13 16:24:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,BARAÚNA,Caatinga,14.0,0.0,1.0,-5.15002,-37.66718,21.4
2023/12/13 16:24:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,SERRA DO MEL,Caatinga,10.0,0.0,1.0,-5.09845,-36.99595,251.0
2023/12/13 16:24:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,SERRA DO MEL,Caatinga,10.0,0.0,1.0,-5.09713,-36.98676,103.0
2023/12/14 17:04:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,TENENTE ANANIAS,Caatinga,4.0,0.0,0.8,-6.49266,-38.12158,41.4
2023/12/14 17:04:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,TENENTE ANANIAS,Caatinga,4.0,0.0,0.82,-6.48232,-38.14902,38.8
2023/12/15 16:09:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,PARANÁ,Caatinga,5.0,0.0,1.0,-6.47521,-38.28481,37.6
2023/12/15 16:09:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,PARANÁ,Caatinga,5.0,0.0,1.0,-6.47234,-38.28034,32.3
2023/12/15 16:09:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,LUÍS GOMES,Caatinga,5.0,0.0,1.0,-6.33878,-38.34945,28.4
2023/12/16 16:49:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,MOSSORÓ,Caatinga,-999.0,3.15,1.0,-4.93812,-37.41424,32.1
2023/12/23 16:47:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,JOÃO DIAS,Caatinga,0.0,0.0,0.0,-6.32352,-37.84361,12.1
2023/12/25 16:30:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,PEDRO VELHO,Mata Atlântica,4.0,0.0,0.59,-6.44274,-35.27905,7.6
2023/12/25 16:30:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,CORONEL JOÃO PESSOA,Caatinga,3.0,0.1,0.35,-6.23971,-38.44119,14.9
2023/12/25 16:30:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,CORONEL JOÃO PESSOA,Caatinga,3.0,0.18,0.33,-6.23836,-38.43182,17.0
2023/12/26 17:11:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,MARCELINO VIEIRA,Caatinga,1.0,1.5,0.46,-6.20854,-38.12962,60.1
2023/12/27 16:15:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,ALEXANDRIA,Caatinga,1.0,0.0,0.51,-6.37012,-38.01693,17.5
2023/12/27 16:15:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,JOÃO DIAS,Caatinga,0.0,0.0,0.03,-6.28818,-37.83546,28.2
2023/12/27 16:15:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,PORTALEGRE,Caatinga,1.0,0.0,0.16,-6.02989,-38.03955,68.4
2023/12/27 16:15:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,PORTALEGRE,Caatinga,1.0,0.0,0.14,-6.02784,-38.0244,63.4
2023/12/28 16:56:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,PARANÁ,Caatinga,2.0,0.0,0.52,-6.45484,-38.28819,22.0
